ID,Sender Account,Sender Account Branch,Sender Account Type,Sender Name,Sender Current Account Balance,Receiver Account,Receiver Account Branch,Receiver Account Type,Receiver Current Account Balance,Receiver Name,Amount,Currency,Date and Time,Sender Phone Number,Receiver Phone Number,Purpose of Transaction,Transaction Type
6ea06f07-21dd-4ec7-a2b6-b4ce28c78e7b,ADVC77553393703945,"38.182525, -87.587716",Credit,Emily Edwards,7988.903761,AIEW82775694777119,"44.229252, -118.900669",Business,9188.025532,Tammy Charles,1200,USD,2023-10-24 12:14:07,(581)849-9124,+1-691-607-5892,Salary,Debit
1098d29a-3317-43ad-af94-a3057eec54c6,AELE07263812759703,"39.452630, -93.987461",Checking,Shelly Morris,2418.414996,TYIZ01722048971728,"41.611598, -106.461905",Savings,429.0123758,Scott Bass,1025,USD,2023-01-15 22:46:04,(776)819-0862x344,(952)225-9219,Purchase,Credit
959b069f-b530-4a95-9df0-d2cada3f41ee,AFAW09088598508636,"31.074460, -69.830755",Credit,Rebecca Pierce,8987.575087,JWCE32921711969129,"32.519303, -87.606813",Credit,7392.010703,Justin Hall,100000,USD,2023-01-30 06:32:29,(391)455-1907x1214,327-562-0440x0813,Salary,Debit
ef13cb95-f09a-4201-821c-7389dc5d180a,AFKC17872136624153,"47.699762, -72.996883",Checking,Travis Banks,6453.349783,GDNU14643796173345,"25.917216, -91.950203",Credit,1507.099829,Heather Williams,19400,USD,2023-01-06 13:34:38,+1-748-645-8576x1442,(319)855-9006,Transfer,Credit
54865486-e0f1-43a8-a594-fda94be1e55d,AFKC17872136624153,"47.699762, -72.996883",Checking,Travis Banks,6453.349783,QPIN29907733090198,"26.119896, -81.086163",Savings,705.1872806,Natalie Wilson,3000,USD,2023-09-13 02:11:49,+1-748-645-8576x1442,+1-379-898-1553x8904,Purchase,Credit
c7a92647-fad1-4ea2-bd31-dabfa72b5c78,AFKC17872136624153,"47.699762, -72.996883",Checking,Travis Banks,6453.349783,EOWQ94065648366825,"34.524086, -101.549072",Checking,1616.231077,Taylor Jackson,600,USD,2023-10-18 12:22:33,+1-748-645-8576x1442,(294)971-9940x2089,Payment,Debit
1ae332d8-59a5-4344-9088-cf60ec25c19c,ANJK13640658878879,"38.238911, -82.738190",Savings,Stephanie Paul,4604.276487,YEOU48958897613890,"43.777878, -105.330740",Savings,4388.078415,Jordan Flores,1000000,USD,2023-04-30 12:18:50,797.220.3132x768,588-910-7375x71345,Payment,Debit
d410f23d-8c0f-4d94-a731-c79f7c8818fd,ANOY32720241603225,"27.207293, -68.515067",Credit,Terry Pruitt,9055.854306,KPXR13948142637295,"28.624945, -94.693569",Credit,8733.153792,Mr. Dean Warren,23050,USD,2023-05-26 11:03:35,550.768.4416x1333,797-238-6606x424,Gift,Debit
ca1d29fc-6954-44ac-acc2-51e1e01b66d9,ANOY32720241603225,"27.207293, -68.515067",Credit,Terry Pruitt,9055.854306,JXON91931878867932,"41.448112, -102.156971",Credit,2021.397712,Ryan Parker,19380,USD,2023-12-11 12:50:05,550.768.4416x1333,486-715-4805x80407,Transfer,Debit
65bb8f77-c3d6-4001-a679-0bc49b9acfe8,ANOY32720241603225,"27.207293, -68.515067",Credit,Terry Pruitt,9055.854306,WYYK43406455145872,"24.733069, -80.357797",Checking,2507.153869,Rebecca Buchanan,54080,USD,2023-11-02 16:10:23,550.768.4416x1333,001-597-863-8166x2043,Gift,Debit
a7b20bb2-7f1c-4cc6-a1e2-f18a27d28c64,ANOY32720241603225,"27.207293, -68.515067",Credit,Terry Pruitt,9055.854306,TYIZ01722048971728,"41.611598, -106.461905",Savings,429.0123758,Scott Bass,8000,USD,2023-12-21 06:09:04,550.768.4416x1333,(952)225-9219,Purchase,Credit
a5bb1554-a6f3-476b-9ae7-129f6e61e6f5,ANYL02888635190999,"35.231486, -106.047633",Savings,Luke Nguyen,196.1012376,MRSW65448962162707,"28.011689, -90.416985",Checking,6753.230121,Anthony Bailey,2100,USD,2023-10-06 06:50:22,+1-723-687-9818x7190,(336)602-8799,Purchase,Debit
c48a0864-f11f-453d-bdf5-334499cc126d,AONQ14895587773625,"26.479234, -99.451500",Business,Ryan Austin,2618.216152,KYDY81800430028050,"33.324393, -84.810282",Checking,7078.444669,Matthew Carr,25473,USD,2023-01-13 04:50:02,+1-281-515-8553,+1-579-877-9173x817,Payment,Debit
eed999a0-daef-423e-8045-b3e74f2c7dfd,AONQ14895587773625,"26.479234, -99.451500",Business,Ryan Austin,2618.216152,EJCQ86581620126067,"42.540158, -98.756774",Credit,8119.727799,George Orr,136000,USD,2023-04-06 11:35:59,+1-281-515-8553,+1-340-383-7026x157,Salary,Credit
1e7d5a6a-e82d-47a5-a330-5b24cd3bf35a,AOSZ79308597248625,"31.159488, -74.053999",Business,Angela Henderson,2379.456233,JEEI97377815773054,"34.128283, -82.575904",Credit,165.0204472,Christopher Williams,1300,USD,2023-04-07 16:07:04,(716)489-0440,001-461-522-4476,Payment,Debit
